time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20220114:1030,0.0,0.0,0.0,0.0,-3.78,2.28,0.0
20220114:1130,0.0,0.0,0.0,0.0,-4.69,2.62,0.0
20220114:1230,0.0,0.0,0.0,-0.26,-5.53,2.76,0.0
20220114:1330,0.19,37.73,1.26,8.41,-6.22,2.9,0.0
20220114:1430,70.62,101.77,3.67,15.64,-6.58,3.31,0.0
20220114:1530,74.09,142.06,5.11,20.94,-6.96,3.86,0.0
20220114:1630,181.63,189.68,7.29,23.79,-7.47,4.14,0.0
20220114:1730,188.16,208.73,7.84,23.86,-7.97,4.14,0.0
20220114:1830,308.57,198.76,8.1,21.15,-8.79,4.14,0.0
20220114:1930,221.58,135.14,5.36,15.97,-9.55,4.48,0.0
20220114:2030,124.11,86.19,2.81,8.82,-11.29,4.48,0.0
20220114:2130,0.0,6.51,0.24,0.21,-13.12,4.14,0.0
20220114:2230,0.0,0.0,0.0,0.0,-14.91,4.34,0.0
20220114:2330,0.0,0.0,0.0,0.0,-16.41,4.34,0.0
20220115:0030,0.0,0.0,0.0,0.0,-17.8,4.14,0.0
20220115:0130,0.0,0.0,0.0,0.0,-18.96,4.28,0.0
20220115:0230,0.0,0.0,0.0,0.0,-20.03,4.14,0.0
20220115:0330,0.0,0.0,0.0,0.0,-20.94,4.28,0.0
20220115:0430,0.0,0.0,0.0,0.0,-21.74,4.14,0.0
20220115:0530,0.0,0.0,0.0,0.0,-22.39,4.21,0.0
20220115:0630,0.0,0.0,0.0,0.0,-22.93,4.21,0.0
20220115:0730,0.0,0.0,0.0,0.0,-23.93,4.21,0.0
20220115:0830,0.0,0.0,0.0,0.0,-24.41,4.14,0.0
20220115:0930,0.0,0.0,0.0,0.0,-24.73,3.86,0.0
20220115:1030,0.0,0.0,0.0,0.0,-25.03,3.66,0.0
20220115:1130,0.0,0.0,0.0,0.0,-25.23,3.38,0.0
20220115:1230,0.0,0.0,0.0,-0.18,-25.52,3.1,0.0
20220115:1330,344.07,90.41,3.77,8.51,-25.65,2.62,0.0
20220115:1430,585.31,121.85,7.97,15.77,-24.83,2.83,0.0
20220115:1530,732.51,145.2,11.04,21.09,-23.73,3.38,0.0
20220115:1630,848.14,141.71,12.88,23.96,-22.64,3.38,0.0
20220115:1730,855.17,139.64,12.95,24.05,-21.56,3.24,0.0
20220115:1830,763.69,135.16,11.27,21.35,-20.62,3.17,0.0
20220115:1930,606.6,116.96,8.19,16.17,-20.55,2.97,0.0
20220115:2030,377.76,87.37,4.07,9.01,-20.23,2.69,0.0
20220115:2130,0.0,5.62,0.21,0.4,-20.5,1.93,0.0
20220115:2230,0.0,0.0,0.0,0.0,-21.38,1.72,0.0
20220115:2330,0.0,0.0,0.0,0.0,-21.88,1.79,0.0
20220116:0030,0.0,0.0,0.0,0.0,-22.41,1.66,0.0
20220116:0130,0.0,0.0,0.0,0.0,-23.5,1.38,0.0
20220116:0230,0.0,0.0,0.0,0.0,-23.35,0.97,0.0
20220116:0330,0.0,0.0,0.0,0.0,-22.78,0.62,0.0
20220116:0430,0.0,0.0,0.0,0.0,-23.05,0.48,0.0
20220116:0530,0.0,0.0,0.0,0.0,-23.48,0.55,0.0
20220116:0630,0.0,0.0,0.0,0.0,-23.97,0.69,0.0
20220116:0730,0.0,0.0,0.0,0.0,-24.07,0.76,0.0
20220116:0830,0.0,0.0,0.0,0.0,-24.46,0.83,0.0
20220116:0930,0.0,0.0,0.0,0.0,-25.59,0.97,0.0
20220116:1030,0.0,0.0,0.0,0.0,-26.15,0.97,0.0
20220116:1130,0.0,0.0,0.0,0.0,-26.51,1.1,0.0
20220116:1230,0.0,0.0,0.0,-0.1,-26.81,1.38,0.0
20220116:1330,354.78,82.76,3.78,8.61,-26.95,1.52,0.0
20220116:1430,586.34,110.58,7.87,15.9,-24.3,1.52,0.0
20220116:1530,753.13,124.82,11.01,21.24,-19.76,1.59,0.0
20220116:1630,841.58,131.35,12.72,24.14,-13.69,2.0,0.0
20220116:1730,845.78,131.34,12.79,24.25,-10.77,2.0,0.0
20220116:1830,762.39,125.0,11.18,21.55,-8.61,2.0,0.0
20220116:1930,600.3,111.29,8.13,16.37,-7.49,2.34,0.0
20220116:2030,372.43,84.72,4.08,9.21,-7.05,2.28,0.0
20220116:2130,0.0,5.69,0.21,0.59,-8.02,2.14,0.0
20220116:2230,0.0,0.0,0.0,0.0,-10.16,2.41,0.0
20220116:2330,0.0,0.0,0.0,0.0,-11.42,2.48,0.0
20220117:0030,0.0,0.0,0.0,0.0,-11.93,2.69,0.0
20220117:0130,0.0,0.0,0.0,0.0,-11.56,2.76,0.0
20220117:0230,0.0,0.0,0.0,0.0,-10.66,2.69,0.0
20220117:0330,0.0,0.0,0.0,0.0,-9.92,2.55,0.0
20220117:0430,0.0,0.0,0.0,0.0,-9.51,2.48,0.0
20220117:0530,0.0,0.0,0.0,0.0,-9.15,2.28,0.0
20220117:0630,0.0,0.0,0.0,0.0,-8.49,2.07,0.0
20220117:0730,0.0,0.0,0.0,0.0,-7.49,2.41,0.0
20220117:0830,0.0,0.0,0.0,0.0,-6.43,2.14,0.0
20220117:0930,0.0,0.0,0.0,0.0,-5.39,1.93,0.0
20220117:1030,0.0,0.0,0.0,0.0,-4.62,2.0,0.0
20220117:1130,0.0,0.0,0.0,0.0,-3.93,2.41,0.0
20220117:1230,0.0,0.0,0.0,-0.0,-3.27,2.62,0.0
20220117:1330,0.0,13.44,0.45,8.72,-2.48,2.83,0.0
20220117:1430,0.4,49.34,1.66,16.03,-1.46,3.1,0.0
20220117:1530,66.92,112.2,4.2,21.4,-0.44,2.62,0.0
20220117:1630,14.27,104.81,3.62,24.32,0.34,1.17,0.0
20220117:1730,29.61,133.99,4.69,24.45,0.49,1.03,0.0
20220117:1830,166.71,78.9,4.12,21.76,1.23,0.34,0.0
20220117:1930,151.32,93.18,4.0,16.58,0.58,0.97,0.0
20220117:2030,149.52,72.69,2.72,9.42,0.19,0.69,0.0
20220117:2130,0.0,6.67,0.25,0.79,0.25,0.76,0.0
20220117:2230,0.0,0.0,0.0,0.0,-0.44,1.31,0.0
20220117:2330,0.0,0.0,0.0,0.0,-0.25,1.03,0.0
20220118:0030,0.0,0.0,0.0,0.0,0.0,1.45,0.0
20220118:0130,0.0,0.0,0.0,0.0,-0.79,2.55,0.0
20220118:0230,0.0,0.0,0.0,0.0,-1.94,2.41,0.0
20220118:0330,0.0,0.0,0.0,0.0,-2.68,2.48,0.0
20220118:0430,0.0,0.0,0.0,0.0,-3.39,3.17,0.0
20220118:0530,0.0,0.0,0.0,0.0,-4.81,3.52,0.0
20220118:0630,0.0,0.0,0.0,0.0,-6.24,3.72,0.0
20220118:0730,0.0,0.0,0.0,0.0,-7.4,3.79,0.0
20220118:0830,0.0,0.0,0.0,0.0,-8.18,3.66,0.0
20220118:0930,0.0,0.0,0.0,0.0,-8.87,3.38,0.0
20220118:1030,0.0,0.0,0.0,0.0,-9.45,3.31,0.0
20220118:1130,0.0,0.0,0.0,0.0,-10.14,3.17,0.0
20220118:1230,0.0,6.12,0.23,0.1,-10.76,3.17,0.0
20220118:1330,231.16,91.44,3.33,8.84,-11.67,3.17,0.0
20220118:1430,323.19,143.72,6.31,16.18,-11.96,3.66,0.0
20220118:1530,557.83,175.91,9.96,21.57,-12.48,3.72,0.0
20220118:1630,545.65,230.62,11.4,24.51,-12.58,3.79,0.0
20220118:1730,572.32,225.96,11.6,24.65,-12.67,3.86,0.0
20220118:1830,324.1,222.39,8.92,21.97,-12.67,3.79,0.0
20220118:1930,354.78,156.16,6.9,16.79,-12.13,3.66,0.0
20220118:2030,363.54,90.19,4.24,9.62,-12.46,3.38,0.0
20220118:2130,0.0,6.51,0.24,0.99,-13.25,2.55,0.0
20220118:2230,0.0,0.0,0.0,0.0,-14.67,2.14,0.0
20220118:2330,0.0,0.0,0.0,0.0,-15.7,1.93,0.0
20220119:0030,0.0,0.0,0.0,0.0,-16.47,1.72,0.0
20220119:0130,0.0,0.0,0.0,0.0,-17.38,1.52,0.0
20220119:0230,0.0,0.0,0.0,0.0,-18.91,1.24,0.0
20220119:0330,0.0,0.0,0.0,0.0,-19.0,0.97,0.0
20220119:0430,0.0,0.0,0.0,0.0,-21.86,1.45,0.0
20220119:0530,0.0,0.0,0.0,0.0,-23.19,1.72,0.0
20220119:0630,0.0,0.0,0.0,0.0,-24.01,1.86,0.0
20220119:0730,0.0,0.0,0.0,0.0,-23.19,1.72,0.0
20220119:0830,0.0,0.0,0.0,0.0,-21.72,2.0,0.0
20220119:0930,0.0,0.0,0.0,0.0,-19.52,2.14,0.0
20220119:1030,0.0,0.0,0.0,0.0,-17.07,2.41,0.0
