month,day,Hour,Load (MW),Price ($/MWh)
1,14,8,733.478,111.68
1,14,9,756.339,119.48
1,14,10,753.373,100.97
1,14,11,743.532,144.7
1,14,12,737.782,132.75
1,14,13,720.134,141.28
1,14,14,702.378,126.22
1,14,15,705.108,111.82
1,14,16,746.146,113.16
1,14,17,795.257,124.77
1,14,18,845.341,146.06
1,14,19,845.114,127.19
1,14,20,826.498,121.61
1,14,21,819.405,118.48
1,14,22,804.578,116.25
1,14,23,772.208,115.09
1,14,24,738.646,103.47
1,15,1,716.775,115.71
1,15,2,697.994,107.39
1,15,3,688.521,92.37
1,15,4,688.185,93.32
1,15,5,690.143,107.03
1,15,6,707.548,115.04
1,15,7,743.947,135.76
1,15,8,783.837,199.42
1,15,9,787.657,186.72
1,15,10,739.221,131.16
1,15,11,689.454,143.96
1,15,12,659.064,138.24
1,15,13,647.079,132.75
1,15,14,653.966,143.23
1,15,15,701.747,167.8
1,15,16,794.132,181.05
1,15,17,865.476,206.19
1,15,18,898.296,251.39
1,15,19,894.924,211.13
1,15,20,883.913,210.97
1,15,21,865.899,197.62
1,15,22,836.604,195.93
1,15,23,804.798,165.97
1,15,24,768.84,202.13
1,16,1,734.842,172.58
1,16,2,714.615,204.97
1,16,3,709.412,156.55
1,16,4,708.787,229.33
1,16,5,712.622,212.63
1,16,6,725.101,242.22
1,16,7,754.394,265.9
1,16,8,792.575,277.81
1,16,9,782.276,270.42
1,16,10,720.5,238
1,16,11,657.549,174.9
1,16,12,621.47,138.44
1,16,13,588.885,120.51
1,16,14,581.817,133.64
1,16,15,628.566,168.97
1,16,16,739.346,218.75
1,16,17,826.912,262.5
1,16,18,880.781,289.56
1,16,19,870.402,254.03
1,16,20,833.514,205.58
1,16,21,798.312,174.64
1,16,22,757.023,149.85
1,16,23,715.129,142.26
1,16,24,670.748,140.56
1,17,1,641.16,122.88
1,17,2,622.562,164.65
1,17,3,609.285,157.9
1,17,4,608.175,159.83
1,17,5,617.644,168.47
1,17,6,641.97,166.49
1,17,7,684.951,150.91
1,17,8,729.177,156.93
1,17,9,754.01,217.08
1,17,10,766.905,208.58
1,17,11,784.483,269.72
1,17,12,789.192,176.85
1,17,13,784.27,140.41
1,17,14,768.533,154.17
1,17,15,751.454,168.67
1,17,16,747.995,208.9
1,17,17,760.329,206.98
1,17,18,803.539,275.25
1,17,19,786.715,216.29
1,17,20,754.745,141.37
1,17,21,724.986,126.84
1,17,22,693.486,125.05
1,17,23,652.531,126.25
1,17,24,613.234,125.26
1,18,1,590.103,121.52
1,18,2,580.551,117.53
1,18,3,577.64,131.09
1,18,4,586.06,120.99
1,18,5,603.303,116.14
1,18,6,645.264,134.35
1,18,7,718.092,162.01
1,18,8,770.55,224.06
1,18,9,784.409,169.7
1,18,10,777.226,136.75
1,18,11,761.871,126.57
1,18,12,751.555,118.33
1,18,13,744.349,129.57
1,18,14,743.17,160.86
1,18,15,740.796,128.68
1,18,16,762.475,160.53
1,18,17,797.953,193.59
1,18,18,828.293,215.11
1,18,19,821.609,196.46
1,18,20,804.037,181.03
1,18,21,803.776,171.3
1,18,22,775.206,138.86
1,18,23,739.146,145.05
1,18,24,704.428,148.02
1,19,1,687.145,139.15
1,19,2,675.335,142.32
1,19,3,670.443,142.86
1,19,4,671.273,151.67
1,19,5,682.015,145.83
1,19,6,718.299,182.95
1,19,7,782.548,243.23
1,19,8,834.901,255.18
1,19,9,843.54,235.56
1,19,10,829.783,185.61
1,19,11,803.308,142.2
1,19,12,792.054,130.86
1,19,13,796.78,121.26
1,19,14,790.212,116.14
1,19,15,788.178,121.48
1,19,16,782.822,126.05
1,19,17,810.429,210.64
1,19,18,836.452,190.88
1,19,19,815.759,154.43
1,19,20,786.073,120.35
1,19,21,752.798,121.95
1,19,22,716.89,100.64
1,19,23,670.257,90.33
1,19,24,625.44,83.47
1,20,1,595.742,89.59
1,20,2,580.063,76.81
1,20,3,578.429,75.48
1,20,4,581.946,76.62
1,20,5,600.693,68.5
1,20,6,644.898,60.35
1,20,7,721.215,73.94
1,20,8,783.612,93.02
1,20,9,798.862,143.09
1,20,10,776.204,137.86
1,20,11,709.008,233.2
1,20,12,663.789,202.48
1,20,13,642.675,141.16
1,20,14,641.364,137.89
1,20,15,668.315,135.27
1,20,16,740.339,146.38
1,20,17,814.69,218.16
1,20,18,869.056,306.18
1,20,19,871.373,251.52
1,20,20,857.232,208.87
1,20,21,829.455,199.57
1,20,22,803.923,151.63
1,20,23,765.551,134.12
1,20,24,727.337,139.09
